DecCrimeFedSpending,interestInElection,PRE_IntentVote,Year,Sex,PartyIDRepublican,IncSpendingServices,WeakReligiousAttendence,WorseEconomyView,AbortionRightsSC,Age,EducationLevel,Income,Race,Region,IncDefenseSpending,IncPrivateMedInsurance,RegistrationStatus,Voted,VotePresident,HH_In_Union,MaritalStatus,FedTaxesNotWasted,DecEmphasisOnTraditionalValues,swing_voter
2,3,1,1972.0,2,2,4,3,3,3,52.0,2,1,1,2,4,1,2,1,1,2,1,0,1,False
1,1,2,1972.0,2,6,3,4,5,3,37.0,2,3,1,2,6,1,2,1,1,2,1,2,2,True
1,1,2,1972.0,1,4,2,0,4,4,32.0,4,1,1,3,6,4,2,1,1,2,1,0,2,True
2,2,1,1972.0,1,2,5,4,4,3,32.0,2,3,1,2,6,3,2,2,1,1,2,1,2,False
1,3,2,1972.0,2,7,4,1,5,2,65.0,3,3,1,2,6,7,2,2,2,2,5,1,1,False
1,1,2,1972.0,1,5,4,5,4,3,28.0,2,3,1,1,6,2,2,2,2,1,1,2,2,False
1,1,1,1972.0,2,2,3,2,4,3,51.0,2,4,1,1,6,4,2,2,1,2,1,1,1,False
2,2,2,1972.0,1,5,5,5,4,4,20.0,2,1,1,1,4,1,2,2,1,2,1,2,2,True
1,3,4,1972.0,2,6,3,5,5,3,91.0,2,1,1,1,5,7,2,1,1,2,5,2,1,True
1,3,2,1972.0,1,2,2,3,4,2,67.0,1,1,1,1,5,1,2,1,1,2,1,0,2,True
1,2,2,1972.0,1,5,3,2,5,3,32.0,3,4,1,1,5,7,2,2,2,2,1,1,1,False
2,3,2,1972.0,1,4,4,5,4,4,50.0,3,3,1,2,6,5,2,1,1,2,1,1,2,True
1,2,2,1972.0,1,5,4,4,4,4,24.0,2,3,1,4,5,4,2,2,2,2,1,1,2,False
2,1,4,1972.0,2,4,3,5,5,3,80.0,1,1,1,4,4,1,1,1,1,2,5,1,1,True
1,1,2,1972.0,1,5,5,5,4,3,18.0,2,4,1,4,4,6,2,1,1,1,4,2,2,True
1,2,2,1972.0,2,7,3,2,4,3,61.0,3,2,1,2,6,7,2,1,1,2,2,0,2,True
1,3,2,1972.0,1,3,4,4,4,3,26.0,2,3,1,3,4,1,2,1,1,1,1,0,2,True
2,1,2,1972.0,2,7,2,1,4,3,45.0,2,3,1,4,5,7,2,2,2,2,1,1,1,False
1,3,4,1972.0,2,1,4,3,4,3,47.0,1,1,2,2,6,7,1,1,1,2,4,2,1,True
1,3,1,1972.0,1,3,4,4,4,3,54.0,2,3,1,2,5,3,2,2,1,1,1,2,1,False
2,1,2,1972.0,2,7,4,1,5,2,58.0,2,3,1,2,5,2,2,2,2,1,1,1,1,False
2,3,1,1972.0,2,3,5,4,4,3,23.0,4,5,3,1,5,4,2,2,1,2,2,1,2,False
2,2,2,1972.0,2,3,4,4,4,3,29.0,2,2,1,1,6,2,2,2,2,2,1,2,2,False
2,2,2,1972.0,2,6,4,4,5,3,42.6,1,1,1,1,6,2,2,1,1,2,1,0,2,True
2,3,2,1972.0,2,6,3,4,4,3,36.0,2,4,1,1,6,3,2,1,1,1,1,1,1,True
2,3,1,1972.0,1,2,4,5,4,4,65.0,4,5,2,1,6,1,2,2,1,1,5,2,1,False
1,2,2,1972.0,1,2,4,1,4,2,77.0,2,1,1,3,6,2,2,2,2,2,1,1,2,False
1,3,2,1972.0,1,4,3,5,4,3,79.0,2,1,1,2,5,7,2,2,2,1,1,1,1,False
1,2,2,1972.0,2,4,3,4,4,2,54.0,1,2,1,2,5,1,2,1,1,2,1,1,1,True
1,2,1,1972.0,2,1,2,1,3,3,86.0,2,1,1,3,4,4,2,1,1,2,5,1,1,False
1,1,1,1972.0,2,1,2,1,3,3,86.0,3,1,1,3,5,1,2,2,2,2,5,1,1,True
1,3,2,1972.0,2,1,4,5,3,2,61.0,1,1,1,3,4,4,2,2,1,2,1,1,1,True
2,3,1,1972.0,1,1,4,4,4,3,47.0,2,1,1,3,5,4,2,2,1,2,4,1,2,False
1,1,2,1972.0,2,6,3,1,5,2,51.0,2,1,1,3,6,1,2,2,2,2,1,3,1,False
2,2,2,1972.0,2,2,4,3,4,4,44.0,2,4,1,3,5,4,2,2,2,1,1,2,2,False
2,2,1,1972.0,2,2,4,1,4,2,41.0,3,3,1,4,6,1,2,2,1,2,1,1,2,False
2,1,2,1972.0,2,6,4,1,4,3,19.0,3,4,1,4,6,1,2,2,2,2,2,2,2,False
1,1,4,1972.0,2,2,4,1,4,3,60.0,1,1,1,3,4,7,1,1,1,2,1,1,1,True
1,2,1,1972.0,2,2,4,1,4,2,26.0,4,3,1,2,5,1,2,2,1,2,1,1,2,False
2,2,2,1972.0,2,3,4,1,4,3,65.0,4,3,1,3,5,3,2,2,2,2,1,2,1,False
1,2,1,1972.0,2,6,4,1,5,2,46.0,1,2,1,3,5,2,2,1,1,2,5,3,2,False
1,1,2,1972.0,2,4,3,1,4,3,67.0,1,1,1,2,4,3,2,1,1,1,1,0,1,True
2,2,2,1972.0,1,3,4,4,4,3,22.0,2,3,1,2,4,1,2,2,2,1,2,1,2,False
1,1,2,1972.0,2,6,2,1,4,2,46.0,2,3,1,2,6,3,2,2,2,2,1,2,1,False
