18-24,22-24,45-64,65-74,75+,Total population,Total Citizen Population,Reported registered-Number,Reported registered-Percent,Reported not registered-Number,Reported not registered-Percent,No response to registration1 -Number,No response to registration1 -Percent,Reported voted-Number,Reported voted-Percent,Reported not voted-Number,Reported not voted-Percent,No response to voting2 -Number,No response to voting2 -Percent,Reported registered - total pop %,Reported voted - total pop %,"10,000 to 14,999","100,000 to 149,999","15,000 to 19,999","150,000 and over","20,000 to 29,999","30,000 to 39,999","40,000 to 49,999","50,000 to 74,999","75,000 to 99,999",Income not reported,"Under 10,000"
0,1,0,0,0,"7,453","6,798","5,496",80.9,743,10.9,558,8.2,"4,917",72.3,"1,315",19.3,566,8.3,73.7,66.0,False,False,False,False,False,False,False,False,True,False,False
0,1,0,0,0,"9,111","8,504","7,198",84.6,675,7.9,630,7.4,"6,673",78.5,"1,199",14.1,632,7.4,79.0,73.2,False,True,False,False,False,False,False,False,False,False,False
0,1,0,0,0,"9,229","8,476","7,378",87.0,438,5.2,659,7.8,"7,058",83.3,786,9.3,632,7.5,79.9,76.5,False,False,False,True,False,False,False,False,False,False,False
0,1,0,0,0,"12,038","10,688","5,156",48.2,"1,087",10.2,"4,445",41.6,"4,636",43.4,"1,654",15.5,"4,398",41.1,42.8,38.5,False,False,False,False,False,False,False,False,False,True,False
0,0,1,0,0,798,696,451,64.7,149,21.3,97,14.0,375,53.8,231,33.1,91,13.1,56.5,47.0,False,False,False,False,False,False,False,False,False,False,True
0,0,1,0,0,961,805,512,63.5,151,18.7,143,17.8,417,51.8,244,30.3,144,17.9,53.2,43.4,True,False,False,False,False,False,False,False,False,False,False
0,0,1,0,0,"1,000",839,531,63.3,193,23.0,114,13.6,445,53.0,287,34.2,107,12.8,53.1,44.5,False,False,True,False,False,False,False,False,False,False,False
0,0,1,0,0,"2,600","2,129","1,404",65.9,422,19.8,304,14.3,"1,250",58.7,602,28.3,277,13.0,54.0,48.1,False,False,False,False,True,False,False,False,False,False,False
0,0,1,0,0,"3,681","2,994","2,220",74.1,465,15.5,309,10.3,"2,070",69.1,627,20.9,298,9.9,60.3,56.2,False,False,False,False,False,True,False,False,False,False,False
0,0,1,0,0,"2,723","2,327","1,829",78.6,285,12.2,213,9.2,"1,683",72.3,447,19.2,197,8.5,67.2,61.8,False,False,False,False,False,False,True,False,False,False,False
0,0,1,0,0,"8,195","7,408","5,987",80.8,695,9.4,726,9.8,"5,574",75.2,"1,160",15.7,674,9.1,73.1,68.0,False,False,False,False,False,False,False,True,False,False,False
0,0,1,0,0,"7,168","6,760","5,710",84.5,450,6.7,600,8.9,"5,455",80.7,724,10.7,581,8.6,79.7,76.1,False,False,False,False,False,False,False,False,True,False,False
0,0,1,0,0,"8,930","8,582","7,515",87.6,432,5.0,636,7.4,"7,249",84.5,698,8.1,636,7.4,84.2,81.2,False,True,False,False,False,False,False,False,False,False,False
0,0,1,0,0,"11,811","11,337","10,317",91.0,274,2.4,747,6.6,"10,080",88.9,511,4.5,747,6.6,87.4,85.3,False,False,False,True,False,False,False,False,False,False,False
0,0,1,0,0,"13,823","12,802","7,579",59.2,765,6.0,"4,458",34.8,"7,131",55.7,"1,260",9.8,"4,410",34.4,54.8,51.6,False,False,False,False,False,False,False,False,False,True,False
0,0,0,1,0,235,184,137,74.7,20,10.9,26,14.4,127,68.9,31,16.9,26,14.2,58.6,54.1,False,False,False,False,False,False,False,False,False,False,True
0,0,0,1,0,390,360,242,67.3,91,25.2,27,7.6,219,60.7,115,31.8,27,7.5,62.1,56.1,True,False,False,False,False,False,False,False,False,False,False
0,0,0,1,0,367,316,209,66.1,84,26.7,23,7.2,193,61.2,99,31.4,24,7.5,56.9,52.7,False,False,True,False,False,False,False,False,False,False,False
0,0,0,1,0,"1,242","1,155",885,76.7,170,14.7,99,8.6,819,71.0,243,21.0,92,8.0,71.3,66.0,False,False,False,False,True,False,False,False,False,False,False
0,0,0,1,0,"1,627","1,549","1,274",82.2,138,8.9,137,8.9,"1,205",77.8,214,13.8,130,8.4,78.3,74.1,False,False,False,False,False,True,False,False,False,False,False
0,0,0,1,0,"1,482","1,442","1,283",89.0,69,4.8,90,6.3,"1,214",84.2,133,9.2,95,6.6,86.6,81.9,False,False,False,False,False,False,True,False,False,False,False
0,0,0,1,0,"3,628","3,495","3,099",88.7,167,4.8,230,6.6,"3,006",86.0,276,7.9,213,6.1,85.4,82.8,False,False,False,False,False,False,False,True,False,False,False
0,0,0,1,0,"2,520","2,445","2,211",90.4,105,4.3,129,5.3,"2,178",89.1,146,6.0,121,5.0,87.7,86.4,False,False,False,False,False,False,False,False,True,False,False
0,0,0,1,0,"2,485","2,408","2,219",92.1,47,2.0,142,5.9,"2,188",90.9,78,3.2,142,5.9,89.3,88.0,False,True,False,False,False,False,False,False,False,False,False
0,0,0,1,0,"2,363","2,296","2,040",88.9,61,2.7,194,8.5,"2,002",87.2,103,4.5,190,8.3,86.3,84.7,False,False,False,True,False,False,False,False,False,False,False
0,0,0,1,0,"6,463","6,220","4,033",64.8,271,4.4,"1,916",30.8,"3,891",62.5,427,6.9,"1,903",30.6,62.4,60.2,False,False,False,False,False,False,False,False,False,True,False
0,0,0,0,1,173,136,90,66.0,34,24.8,13,9.2,74,54.5,49,36.3,13,9.2,52.0,42.9,False,False,False,False,False,False,False,False,False,False,True
0,0,0,0,1,178,164,120,73.2,36,21.8,8,5.0,96,58.7,64,38.9,4,2.5,67.2,53.9,True,False,False,False,False,False,False,False,False,False,False
0,0,0,0,1,318,294,230,78.1,40,13.5,25,8.4,226,76.9,47,15.9,21,7.2,72.3,71.3,False,False,True,False,False,False,False,False,False,False,False
0,0,0,0,1,"1,020",995,778,78.2,77,7.7,140,14.1,703,70.7,164,16.5,128,12.9,76.3,68.9,False,False,False,False,True,False,False,False,False,False,False
0,0,0,0,1,"1,149","1,131",937,82.9,62,5.5,132,11.7,881,77.9,119,10.6,130,11.5,81.5,76.7,False,False,False,False,False,True,False,False,False,False,False
0,0,0,0,1,918,890,787,88.4,47,5.3,56,6.3,733,82.4,112,12.6,45,5.0,85.7,79.9,False,False,False,False,False,False,True,False,False,False,False
0,0,0,0,1,"2,056","2,004","1,772",88.4,98,4.9,133,6.7,"1,676",83.6,202,10.1,126,6.3,86.2,81.5,False,False,False,False,False,False,False,True,False,False,False
0,0,0,0,1,"1,147","1,102","1,027",93.2,34,3.1,41,3.7,982,89.1,79,7.2,41,3.7,89.5,85.6,False,False,False,False,False,False,False,False,True,False,False
0,0,0,0,1,989,964,834,86.5,70,7.3,61,6.3,793,82.2,108,11.2,63,6.5,84.3,80.1,False,True,False,False,False,False,False,False,False,False,False
0,0,0,0,1,"1,030",958,819,85.5,56,5.8,84,8.7,784,81.8,91,9.5,83,8.7,79.5,76.1,False,False,False,True,False,False,False,False,False,False,False
0,0,0,0,1,"3,925","3,825","2,529",66.1,178,4.6,"1,119",29.2,"2,403",62.8,305,8.0,"1,117",29.2,64.4,61.2,False,False,False,False,False,False,False,False,False,True,False
