Total population,Total citizen population,Total registered,"Percent registered
(Total)",Registered-Margin of error 1,"Percent registered
(Citizen)",Registered-Margin of error 1.1,Total voted,"Percent voted
(Total)",Voted-Margin of error 1,"Percent voted
(Citizen)",Voted-Margin of error 1.1
"1,815","1,652","1,113",61.4,3.7,67.4,3.7,"1,050",57.9,3.8,63.6,3.8
259,258,167,64.6,9.2,64.9,9.2,146,56.3,9.6,56.6,9.6
252,217,146,57.8,10,67.2,10.2,144,57.2,10,66.5,10.3
"1,101","1,077",843,76.6,2.9,78.3,2.8,797,72.4,3,74,3
542,531,401,74.1,4.3,75.5,4.2,375,69.2,4.5,70.5,4.5
559,546,442,78.9,3.9,80.9,3.8,423,75.5,4.1,77.4,4.1
"1,030","1,015",813,78.9,2.9,80,2.8,771,74.8,3.1,75.9,3
"1,000",993,799,79.8,2.9,80.5,2.8,758,75.8,3.1,76.4,3.1
20,20,4,B,B,B,B,4,B,B,B,B
27,17,9,B,B,B,B,8,B,B,B,B
38,31,19,B,B,B,B,14,B,B,B,B
"1,045","1,030",823,78.8,2.9,79.9,2.8,782,74.8,3,75.9,3
32,32,14,B,B,B,B,14,B,B,B,B
27,17,9,B,B,B,B,8,B,B,B,B
"6,801","5,921","5,008",73.6,2.2,84.6,1.9,"4,638",68.2,2.3,78.3,2.2
"3,281","2,814","2,366",72.1,3.2,84.1,2.8,"2,193",66.8,3.4,77.9,3.2
"3,520","3,107","2,642",75,3,85,2.6,"2,445",69.5,3.2,78.7,3
"4,900","4,462","3,826",78.1,2.4,85.7,2.1,"3,543",72.3,2.6,79.4,2.5
"3,755","3,636","3,134",83.5,2.5,86.2,2.3,"2,950",78.6,2.7,81.1,2.7
994,850,658,66.2,5.9,77.5,5.6,606,60.9,6.1,71.3,6.1
810,524,443,54.7,7.1,84.5,6.4,408,50.4,7.1,77.9,7.3
"1,347",996,817,60.7,5.7,82,5.2,719,53.4,5.8,72.1,6.1
"4,971","4,520","3,884",78.1,2.4,85.9,2.1,"3,602",72.5,2.6,79.7,2.5
"1,064",907,716,67.2,5.6,78.9,5.3,663,62.3,5.8,73.1,5.8
816,530,449,55.1,7,84.7,6.3,414,50.8,7.1,78.1,7.3
"1,610","1,498","1,028",63.9,3,68.6,3,938,58.3,3.1,62.6,3.2
784,732,495,63.1,4.4,67.6,4.4,450,57.4,4.5,61.4,4.6
826,766,533,64.5,4.2,69.5,4.2,488,59.2,4.3,63.7,4.4
"1,340","1,249",881,65.7,3.3,70.5,3.3,812,60.6,3.4,65,3.4
745,741,578,77.5,3.9,78,3.9,542,72.7,4.1,73.1,4.1
34,32,24,B,B,B,B,21,B,B,B,B
28,15,12,B,B,B,B,12,B,B,B,B
636,539,323,50.7,5.3,59.9,5.6,290,45.6,5.2,53.8,5.7
"1,384","1,288",911,65.8,3.2,70.7,3.2,840,60.7,3.3,65.2,3.4
46,44,34,B,B,B,B,29,B,B,B,B
38,25,22,B,B,B,B,22,B,B,B,B
"15,105","13,298","9,370",62,1.6,70.5,1.7,"8,609",57,1.7,64.7,1.7
"7,164","6,216","4,309",60.1,2.4,69.3,2.4,"3,936",54.9,2.5,63.3,2.6
"7,941","7,082","5,061",63.7,2.3,71.5,2.2,"4,673",58.8,2.3,66,2.3
"10,551","9,556","6,933",65.7,1.9,72.5,1.9,"6,443",61.1,2,67.4,2
"8,764","8,365","6,188",70.6,2,74,2,"5,775",65.9,2.1,69,2.1
"2,554","2,329","1,598",62.6,3.8,68.6,3.8,"1,459",57.1,3.9,62.7,4
"1,533","1,019",593,38.7,5.1,58.2,6.4,528,34.5,5,51.9,6.4
"2,330","1,608",991,42.5,4.5,61.6,5.3,883,37.9,4.4,54.9,5.4
"10,786","9,748","7,086",65.7,1.9,72.7,1.9,"6,543",60.7,2,67.1,2
"2,722","2,464","1,694",62.2,3.7,68.7,3.7,"1,523",55.9,3.8,61.8,3.9
"1,630","1,096",665,40.8,5,60.7,6.1,568,34.9,4.9,51.9,6.2
"8,113","7,391","5,161",63.6,2.2,69.8,2.2,"4,780",58.9,2.3,64.7,2.3
"3,854","3,464","2,377",61.7,3.3,68.6,3.3,"2,185",56.7,3.3,63.1,3.4
"4,259","3,928","2,783",65.3,3,70.9,3,"2,595",60.9,3.1,66.1,3.1
"5,775","5,194","3,638",63,2.6,70,2.6,"3,379",58.5,2.7,65,2.8
"4,859","4,765","3,418",70.4,2.7,71.7,2.7,"3,173",65.3,2.8,66.6,2.8
"1,752","1,707","1,166",66.6,4.5,68.3,4.5,"1,083",61.8,4.6,63.4,4.6
317,221,168,53.1,11.5,76.4,11.7,156,49.3,11.5,70.9,12.5
989,492,267,27,6.1,54.3,9.8,240,24.2,5.9,48.8,9.8
"5,894","5,313","3,725",63.2,2.6,70.1,2.6,"3,449",58.5,2.7,64.9,2.7
"1,802","1,757","1,209",67.1,4.4,68.8,4.4,"1,118",62,4.5,63.6,4.6
344,247,182,52.9,11,73.5,11.5,170,49.4,11,68.6,12.1
571,556,429,75.2,2.9,77.3,2.9,373,65.3,3.2,67.1,3.2
289,283,217,75.1,4.1,76.7,4.1,188,64.9,4.6,66.3,4.6
282,273,212,75.3,4.2,77.8,4.1,185,65.7,4.6,67.9,4.6
503,495,393,78.2,3,79.3,3,352,70,3.3,71,3.3
489,487,388,79.3,3,79.7,3,348,71.1,3.3,71.5,3.3
13,8,2,B,B,B,B,2,B,B,B,B
10,7,3,B,B,B,B,3,B,B,B,B
16,11,6,B,B,B,B,5,B,B,B,B
512,505,400,78.2,3,79.3,2.9,356,69.5,3.3,70.5,3.3
15,10,4,B,B,B,B,2,B,B,B,B
12,8,4,B,B,B,B,3,B,B,B,B
"8,951","8,740","6,733",75.2,1.9,77,1.8,"6,128",68.5,2,70.1,2
"4,311","4,211","3,219",74.7,2.7,76.4,2.7,"2,913",67.6,2.9,69.2,2.9
"4,640","4,529","3,514",75.7,2.6,77.6,2.5,"3,216",69.3,2.8,71,2.8
"7,416","7,300","5,724",77.2,2,78.4,2,"5,223",70.4,2.2,71.5,2.2
"7,095","7,064","5,535",78,2,78.4,2,"5,077",71.6,2.2,71.9,2.2
"1,069","1,042",758,70.9,5.4,72.8,5.4,678,63.4,5.8,65.1,5.8
234,167,101,43.2,13.1,60.6,15.3,96,41,13,57.5,15.5
383,299,226,59,10.8,75.8,10.6,175,45.7,10.9,58.7,12.2
"7,592","7,476","5,844",77,2,78.2,2,"5,324",70.1,2.2,71.2,2.1
"1,181","1,153",831,70.4,5.2,72.1,5.2,738,62.5,5.5,64,5.5
260,192,126,48.7,12.5,65.8,13.8,121,46.7,12.5,63.1,14.1
"2,942","2,800","1,884",64,3.5,67.3,3.5,"1,631",55.5,3.6,58.3,3.7
"1,434","1,367",856,59.7,5.1,62.6,5.2,741,51.7,5.2,54.2,5.3
"1,508","1,433","1,028",68.2,4.7,71.7,4.7,890,59,5,62.1,5.1
"2,289","2,175","1,537",67.1,3.9,70.6,3.9,"1,347",58.9,4.1,62,4.1
"1,977","1,962","1,442",73,4,73.5,3.9,"1,276",64.6,4.3,65,4.3
231,218,123,53.3,12.4,56.4,12.7,108,46.8,12.4,49.5,12.8
26,19,4,B,B,B,B,4,B,B,B,B
348,248,106,30.6,10.2,42.8,13,75,21.6,9.1,30.3,12.1
"2,402","2,288","1,588",66.1,3.8,69.4,3.8,"1,382",57.6,4,60.4,4
255,242,130,50.9,11.8,53.6,12.1,113,44.3,11.8,46.6,12.1
43,36,9,B,B,B,B,4,B,B,B,B
"3,369","3,242","2,590",76.9,2.9,79.9,2.8,"2,402",71.3,3.1,74.1,3
"1,645","1,572","1,245",75.7,4.2,79.2,4,"1,144",69.5,4.5,72.8,4.4
"1,724","1,670","1,345",78,3.9,80.5,3.8,"1,258",73,4.2,75.3,4.2
"2,955","2,876","2,345",79.4,2.9,81.5,2.9,"2,191",74.2,3.2,76.2,3.1
"2,712","2,696","2,229",82.2,2.9,82.7,2.9,"2,094",77.2,3.2,77.7,3.2
82,76,47,57.6,20.6,62.2,20.9,39,47.5,20.8,51.2,21.6
143,109,70,49.4,16.3,64.8,17.8,66,46.2,16.2,60.6,18.2
281,201,122,43.6,12.2,60.8,14.2,105,37.3,11.9,51.9,14.5
"3,064","2,985","2,441",79.7,2.9,81.8,2.8,"2,265",73.9,3.1,75.9,3.1
93,87,58,62.5,18.9,66.8,19,50,53.5,19.5,57.2,20
179,145,101,56.6,14.4,69.8,14.8,84,47.3,14.5,58.3,15.9
"9,902","9,621","7,337",74.1,1.8,76.3,1.8,"6,756",68.2,1.9,70.2,1.9
"4,787","4,638","3,489",72.9,2.6,75.2,2.6,"3,192",66.7,2.8,68.8,2.8
"5,115","4,983","3,848",75.2,2.5,77.2,2.4,"3,564",69.7,2.6,71.5,2.6
"8,485","8,324","6,390",75.3,1.9,76.8,1.9,"5,875",69.2,2.1,70.6,2.1
"7,910","7,862","6,115",77.3,1.9,77.8,1.9,"5,634",71.2,2.1,71.7,2.1
"1,042",981,751,72,5.5,76.5,5.3,694,66.6,5.8,70.8,5.7
231,171,88,38,13,51.4,15.5,84,36.3,12.8,49.1,15.5
618,497,305,49.3,8.7,61.4,9.4,270,43.6,8.6,54.3,9.6
"8,613","8,453","6,486",75.3,1.9,76.7,1.9,"5,965",69.3,2,70.6,2
"1,139","1,078",824,72.3,5.2,76.4,5.1,761,66.9,5.5,70.6,5.5
246,186,103,41.8,12.8,55.4,14.8,99,40.3,12.7,53.2,14.8
840,776,575,68.5,3.2,74.1,3.2,515,61.3,3.4,66.3,3.4
402,377,273,68,4.7,72.5,4.7,246,61.3,4.9,65.3,5
438,399,302,69.1,4.5,75.7,4.3,269,61.4,4.7,67.2,4.8
742,698,519,69.9,3.4,74.3,3.3,462,62.2,3.6,66.1,3.6
659,642,484,73.4,3.5,75.4,3.4,429,65.1,3.8,66.8,3.8
61,53,39,B,B,B,B,37,B,B,B,B
25,15,10,B,B,B,B,10,B,B,B,B
88,60,38,B,B,B,B,36,B,B,B,B
750,706,525,70,3.4,74.4,3.3,466,62.2,3.6,66,3.6
68,60,45,B,B,B,B,41,B,B,B,B
25,15,10,B,B,B,B,10,B,B,B,B
"4,010","3,878","2,713",67.7,3,70,3,"2,459",61.3,3.1,63.4,3.1
"1,887","1,820","1,266",67.1,4.4,69.5,4.4,"1,158",61.3,4.5,63.6,4.6
"2,123","2,058","1,447",68.2,4.1,70.3,4.1,"1,302",61.3,4.3,63.3,4.3
"2,840","2,739","2,013",70.9,3.5,73.5,3.4,"1,845",64.9,3.6,67.4,3.6
"2,605","2,590","1,945",74.7,3.5,75.1,3.4,"1,789",68.7,3.7,69,3.7
"1,032","1,012",613,59.4,5.9,60.5,5.9,546,52.9,6,53.9,6.1
50,40,37,B,B,B,B,34,B,B,B,B
257,163,77,30.1,12.1,47.5,16.6,62,24.3,11.3,38.3,16.1
"2,888","2,786","2,049",71,3.4,73.6,3.4,"1,871",64.8,3.6,67.1,3.6
"1,047","1,026",618,59.1,5.9,60.2,5.9,551,52.7,6,53.7,6
70,59,53,B,B,B,B,51,B,B,B,B
659,649,437,66.3,3.4,67.4,3.4,380,57.7,3.5,58.5,3.5
330,326,217,65.6,4.8,66.5,4.8,189,57.2,5,57.9,5
329,323,221,67,4.8,68.2,4.8,191,58.1,5,59.2,5
587,585,401,68.3,3.5,68.5,3.5,351,59.7,3.7,59.9,3.7
577,577,397,68.8,3.5,68.8,3.5,348,60.3,3.7,60.3,3.7
18,13,5,B,B,B,B,4,B,B,B,B
12,9,4,B,B,B,B,4,B,B,B,B
13,10,6,B,B,B,B,5,B,B,B,B
600,598,411,68.5,3.5,68.7,3.5,360,60,3.7,60.2,3.7
18,13,5,B,B,B,B,4,B,B,B,B
18,15,8,B,B,B,B,8,B,B,B,B
"5,283","5,038","3,742",70.8,2.6,74.3,2.5,"3,346",63.3,2.7,66.4,2.7
"2,544","2,409","1,766",69.4,3.7,73.3,3.7,"1,563",61.4,3.9,64.9,4
"2,738","2,629","1,976",72.2,3.5,75.2,3.4,"1,783",65.1,3.7,67.8,3.7
"4,212","4,014","2,992",71,2.9,74.5,2.8,"2,677",63.6,3,66.7,3
"3,918","3,890","2,924",74.6,2.8,75.2,2.8,"2,619",66.8,3.1,67.3,3.1
866,853,658,76,5.7,77.1,5.6,592,68.3,6.2,69.4,6.2
99,65,37,B,B,B,B,34,B,B,B,B
329,152,72,22,9.8,47.6,17.3,63,19.1,9.3,41.4,17.1
"4,298","4,101","3,032",70.5,2.8,73.9,2.8,"2,708",63,3,66,3
895,882,671,75,5.7,76.1,5.6,602,67.2,6.1,68.2,6.1
111,76,49,43.9,19,63.7,22.1,46,41.3,18.8,59.9,22.6
"21,485","18,581","13,343",62.1,1.4,71.8,1.4,"11,874",55.3,1.4,63.9,1.5
"10,513","9,082","6,338",60.3,2,69.8,2,"5,580",53.1,2,61.4,2.1
"10,972","9,500","7,005",63.8,1.9,73.7,1.9,"6,295",57.4,2,66.3,2
"17,042","14,760","10,734",63,1.5,72.7,1.5,"9,612",56.4,1.6,65.1,1.6
"9,615","9,423","7,396",76.9,1.8,78.5,1.8,"6,785",70.6,1.9,72,1.9
"2,700","2,502","1,759",65.1,3.6,70.3,3.6,"1,521",56.3,3.8,60.8,3.9
"1,239",821,521,42.1,5.7,63.5,6.8,482,38.9,5.6,58.7,7
"7,730","5,599","3,538",45.8,2.5,63.2,2.8,"2,972",38.4,2.4,53.1,2.9
"17,361","15,079","10,928",62.9,1.5,72.5,1.5,"9,762",56.2,1.6,64.7,1.6
"2,890","2,692","1,882",65.1,3.5,69.9,3.5,"1,636",56.6,3.6,60.8,3.7
"1,355",937,601,44.4,5.5,64.2,6.4,546,40.3,5.4,58.3,6.6
"2,320","2,178","1,468",63.3,2.7,67.4,2.7,"1,386",59.7,2.8,63.6,2.8
"1,146","1,068",699,61,3.9,65.5,4,647,56.5,4,60.6,4.1
"1,174","1,110",769,65.5,3.8,69.3,3.8,739,62.9,3.9,66.6,3.9
"2,096","2,000","1,368",65.3,2.8,68.4,2.8,"1,293",61.7,2.9,64.7,2.9
"1,860","1,832","1,268",68.2,3,69.2,2.9,"1,203",64.7,3,65.7,3
40,33,9,B,B,B,B,9,B,B,B,B
51,18,10,B,B,B,B,10,B,B,B,B
253,180,100,39.4,8.8,55.4,10.6,89,35.3,8.6,49.6,10.6
"2,118","2,019","1,378",65.1,2.8,68.2,2.8,"1,303",61.5,2.9,64.5,2.9
48,41,11,B,B,B,B,11,B,B,B,B
55,20,13,B,B,B,B,13,B,B,B,B
507,500,365,72,3.4,73,3.4,342,67.5,3.6,68.4,3.6
250,247,178,71.2,4.9,72.1,4.9,163,65.5,5.1,66.3,5.2
257,253,187,72.9,4.7,74,4.7,178,69.4,4.9,70.5,4.9
477,474,354,74.3,3.4,74.8,3.4,332,69.7,3.6,70.2,3.6
474,470,351,74.1,3.4,74.6,3.4,329,69.4,3.6,69.9,3.6
8,5,1,B,B,B,B,1,B,B,B,B
11,11,3,B,B,B,B,3,B,B,B,B
6,6,4,B,B,B,B,4,B,B,B,B
485,482,360,74.1,3.4,74.7,3.4,337,69.4,3.6,69.9,3.6
10,7,1,B,B,B,B,1,B,B,B,B
14,14,6,B,B,B,B,6,B,B,B,B
"6,481","5,974","4,541",70.1,2.4,76,2.3,"4,275",66,2.5,71.5,2.4
"3,084","2,842","2,092",67.8,3.5,73.6,3.5,"1,981",64.2,3.6,69.7,3.6
"3,396","3,132","2,449",72.1,3.2,78.2,3.1,"2,293",67.5,3.4,73.2,3.3
"4,526","4,268","3,393",75,2.7,79.5,2.6,"3,204",70.8,2.8,75.1,2.8
"3,979","3,904","3,160",79.4,2.7,80.9,2.6,"3,018",75.9,2.8,77.3,2.8
"1,237","1,129",764,61.8,5.5,67.7,5.6,722,58.3,5.6,63.9,5.7
512,409,271,52.9,9.1,66.1,9.6,253,49.4,9.1,61.8,9.9
678,425,271,39.9,8.2,63.8,10.2,218,32.1,7.8,51.3,10.6
"4,620","4,362","3,454",74.8,2.7,79.2,2.6,"3,248",70.3,2.8,74.5,2.8
"1,304","1,196",805,61.7,5.4,67.3,5.4,748,57.4,5.5,62.5,5.6
535,432,287,53.6,8.9,66.4,9.3,269,50.3,8.9,62.3,9.6
"5,993","5,389","4,029",67.2,2.5,74.8,2.4,"3,854",64.3,2.6,71.5,2.5
"2,947","2,638","1,921",65.2,3.6,72.8,3.6,"1,806",61.3,3.7,68.5,3.7
"3,046","2,751","2,109",69.2,3.5,76.7,3.3,"2,047",67.2,3.5,74.4,3.4
"4,735","4,413","3,452",72.9,2.7,78.2,2.6,"3,309",69.9,2.8,75,2.7
"4,122","3,985","3,177",77.1,2.7,79.7,2.6,"3,070",74.5,2.8,77,2.8
257,210,136,53.1,12.3,64.7,13,130,50.8,12.3,61.9,13.2
557,334,213,38.3,8.4,63.9,10.7,210,37.7,8.4,62.8,10.8
680,485,296,43.6,8.2,61,9.6,261,38.4,8.1,53.7,9.8
"4,928","4,593","3,573",72.5,2.6,77.8,2.5,"3,426",69.5,2.7,74.6,2.7
331,285,170,51.2,10.9,59.5,11.5,164,49.4,10.9,57.4,11.6
590,363,227,38.5,8.2,62.5,10.4,224,37.9,8.1,61.6,10.4
"1,397","1,379",928,66.4,3.4,67.3,3.4,773,55.3,3.6,56.1,3.6
684,675,457,66.9,4.9,67.7,4.9,379,55.4,5.1,56.1,5.2
714,704,471,65.9,4.8,66.8,4.8,395,55.3,5,56,5.1
"1,324","1,314",879,66.4,3.5,66.9,3.5,735,55.5,3.7,56,3.7
"1,303","1,301",871,66.9,3.5,67,3.5,729,56,3.7,56.1,3.7
45,42,26,B,B,B,B,18,B,B,B,B
5,1,1,B,B,B,B,1,B,B,B,B
23,15,10,B,B,B,B,8,B,B,B,B
"1,346","1,336",900,66.9,3.5,67.4,3.5,754,56,3.7,56.5,3.7
54,50,34,B,B,B,B,25,B,B,B,B
6,2,2,B,B,B,B,2,B,B,B,B
"4,538","4,421","3,391",74.7,2.7,76.7,2.6,"3,253",71.7,2.8,73.6,2.7
"2,223","2,158","1,616",72.7,3.9,74.9,3.8,"1,533",68.9,4,71,4
"2,315","2,263","1,775",76.7,3.6,78.5,3.6,"1,720",74.3,3.7,76,3.7
"4,005","3,931","3,119",77.9,2.7,79.3,2.7,"3,008",75.1,2.8,76.5,2.8
"3,776","3,772","3,020",80,2.7,80.1,2.7,"2,914",77.2,2.8,77.2,2.8
263,263,126,47.7,12.1,47.7,12.1,114,43.5,12,43.5,12
117,73,44,B,B,B,B,44,B,B,B,B
242,173,105,43.5,13.7,61,16,101,41.7,13.7,58.4,16.2
"4,113","4,040","3,192",77.6,2.7,79,2.6,"3,081",74.9,2.8,76.3,2.8
318,318,152,47.8,11,47.8,11,141,44.3,11,44.3,11
138,94,59,42.4,17.1,62,20.3,59,42.4,17.1,62,20.3
436,427,296,67.9,3.4,69.3,3.4,280,64.1,3.5,65.5,3.5
217,212,141,65,5,66.5,5,132,61.1,5.1,62.5,5.1
219,215,155,70.8,4.7,72.1,4.7,147,67.2,4.9,68.4,4.8
410,405,280,68.3,3.5,69.2,3.5,265,64.5,3.6,65.4,3.6
379,376,265,70,3.6,70.6,3.6,251,66.2,3.7,66.8,3.7
2,2,1,B,B,B,B,1,B,B,B,B
2,-,-,B,B,B,B,-,B,B,B,B
40,38,23,B,B,B,B,21,B,B,B,B
422,416,290,68.6,3.5,69.6,3.5,273,64.7,3.6,65.7,3.6
4,3,3,B,B,B,B,3,B,B,B,B
4,2,2,B,B,B,B,2,B,B,B,B
