Total population,Total citizen population,Total registered,"Percent registered
(Total)",Registered-Margin of error 1,"Percent registered
(Citizen)",Registered-Margin of error 1.1,Total voted,"Percent voted
(Total)",Voted-Margin of error 1,"Percent voted
(Citizen)",Voted-Margin of error 1.1
152,115,57,37.7,16,49.9,19,50,32.7,15.5,43.2,18.8
854,618,374,43.8,7.4,60.5,8.5,315,37,7.2,51.1,8.7
"4,123","3,858","2,801",67.9,3,72.6,3,"2,658",64.5,3.1,68.9,3.1
203,198,118,58.3,13.7,59.7,13.8,113,55.6,13.8,57,13.9
171,135,72,42.2,15.4,53.8,17.5,65,37.7,15.1,48.1,17.6
"2,777","2,524","1,850",66.6,3.2,73.3,3.2,"1,681",60.5,3.3,66.6,3.4
"1,333","1,204",843,63.2,4.7,70,4.7,767,57.5,4.9,63.7,5
"1,444","1,320","1,008",69.8,4.3,76.3,4.2,915,63.4,4.6,69.3,4.6
"2,197","2,043","1,543",70.2,3.5,75.5,3.4,"1,392",63.4,3.7,68.1,3.7
"1,841","1,788","1,381",75,3.6,77.3,3.6,"1,270",69,3.9,71,3.9
323,282,192,59.5,9.4,68.3,9.5,184,56.8,9.4,65.2,9.7
216,158,96,44.4,12,60.5,13.7,90,41.6,11.9,56.6,13.9
461,347,235,51,8.7,67.8,9.4,196,42.4,8.6,56.4,10
"2,211","2,058","1,548",70,3.5,75.2,3.4,"1,395",63.1,3.7,67.8,3.7
326,285,195,59.9,9.3,68.6,9.4,184,56.3,9.4,64.5,9.7
216,158,96,44.4,12,60.5,13.7,90,41.6,11.9,56.6,13.9
766,722,542,70.8,3,75.1,3,489,63.8,3.2,67.7,3.2
361,339,247,68.3,4.5,72.8,4.4,223,61.6,4.7,65.7,4.7
404,383,296,73.1,4,77.2,3.9,266,65.8,4.3,69.5,4.3
540,519,392,72.6,3.5,75.5,3.5,348,64.4,3.8,67,3.8
495,490,378,76.3,3.5,77.1,3.5,335,67.8,3.9,68.4,3.9
172,164,114,66.6,6.3,69.8,6.3,106,61.7,6.5,64.7,6.6
31,21,18,B,B,B,B,18,B,B,B,B
57,37,22,B,B,B,B,20,B,B,B,B
554,531,404,73,3.5,76.1,3.4,359,64.8,3.7,67.6,3.7
181,171,121,67.2,6.1,70.9,6.1,112,62,6.3,65.3,6.4
36,26,23,B,B,B,B,23,B,B,B,B
576,534,464,80.5,2.7,86.9,2.4,448,77.8,2.8,84,2.6
264,245,209,79,4.1,85.1,3.7,200,75.7,4.3,81.5,4
312,288,255,81.7,3.6,88.4,3.1,248,79.5,3.7,86,3.3
278,253,229,82.5,3.7,90.5,3,223,80.3,3.9,88.1,3.3
243,232,213,87.5,3.4,91.5,3,206,84.9,3.7,88.8,3.4
251,243,202,80.4,3.9,83.2,3.7,193,76.7,4.1,79.3,4
36,27,25,B,B,B,B,25,B,B,B,B
50,32,26,B,B,B,B,26,B,B,B,B
285,259,234,82.3,3.7,90.4,3,228,80.2,3.8,88,3.3
256,248,207,80.6,3.8,83.3,3.7,197,76.9,4.1,79.5,4
40,30,27,B,B,B,B,27,B,B,B,B
"17,244","15,645","10,495",60.9,1.5,67.1,1.5,"9,720",56.4,1.5,62.1,1.6
"8,263","7,523","4,965",60.1,2.2,66,2.2,"4,563",55.2,2.2,60.7,2.3
"8,982","8,121","5,530",61.6,2.1,68.1,2.1,"5,157",57.4,2.1,63.5,2.2
"13,675","12,515","8,468",61.9,1.7,67.7,1.7,"7,887",57.7,1.7,63,1.7
"9,553","9,374","6,676",69.9,1.9,71.2,1.9,"6,260",65.5,2,66.8,2
"2,652","2,344","1,533",57.8,3.7,65.4,3.8,"1,375",51.8,3.8,58.7,3.9
585,462,260,44.5,8.2,56.4,9.2,257,43.9,8.2,55.6,9.2
"4,439","3,394","1,992",44.9,3.2,58.7,3.6,"1,789",40.3,3.1,52.7,3.6
"13,843","12,675","8,569",61.9,1.7,67.6,1.7,"7,982",57.7,1.7,63,1.7
"2,819","2,504","1,624",57.6,3.6,64.9,3.7,"1,460",51.8,3.6,58.3,3.8
591,467,266,45,8.2,56.9,9.1,263,44.4,8.2,56.2,9.2
"8,032","7,400","5,233",65.2,2.2,70.7,2.2,"4,888",60.9,2.2,66.1,2.3
"3,765","3,461","2,354",62.5,3.3,68,3.3,"2,180",57.9,3.3,63,3.4
"4,267","3,938","2,880",67.5,3,73.1,2.9,"2,707",63.5,3,68.7,3
"4,785","4,521","3,297",68.9,2.8,72.9,2.7,"3,079",64.3,2.9,68.1,2.9
"4,239","4,194","3,152",74.3,2.8,75.1,2.8,"2,947",69.5,2.9,70.3,2.9
"2,569","2,513","1,721",67,3.7,68.5,3.6,"1,608",62.6,3.8,64,3.8
389,217,124,31.8,9.6,56.9,13.6,116,29.8,9.4,53.3,13.7
739,403,192,25.9,6.9,47.6,10.7,178,24.1,6.8,44.2,10.7
"4,857","4,593","3,351",69,2.7,73,2.7,"3,127",64.4,2.8,68.1,2.8
"2,702","2,597","1,776",65.7,3.6,68.4,3.6,"1,657",61.3,3.7,63.8,3.7
